health_score,open_issues,open_ratio,repository,stars,forks,language,total_contributors,core_contributors,contribution_gini,top_contributor_percentage,total_commits,commits_per_day,activity_ratio,unique_authors,recent_issues_count,recent_issues_per_day,recent_resolution_rate,avg_comments_per_issue,log_stars,log_contributors,contributors_per_star,commits_per_contributor,time_window_days,recent_contributors,log_recent_contributors,recent_contributor_ratio,recent_contributors_per_star
85,1027,0.2727272727272727,facebook/react,237663,49016,JavaScript,410,2,-0.1224263394902079,0.1027448714244438,726,4.033333333333333,0.7833333333333333,60,33,0.1833333333333333,0.7272727272727273,1.4545454545454546,12.378613190469023,6.018593214496234,0.0017251318042774,1.7707317073170732,180,60,4.110873864173311,0.14634146341463414,0.0002524583128210954
70,601,0.325,vuejs/vue,209194,33748,TypeScript,356,1,-0.1233326070068401,0.7259696458684655,0,0.0,0.0,0,10,0.0555555555555555,0.7,14.45,12.251022110313668,5.877735781779639,0.0017017696492251,0.0,180,0,0.0,0.0,0.0
85,1572,0.5882352941176471,angular/angular,98376,26460,TypeScript,381,0,-0.1609198632765492,0.0625608410669089,1886,10.477777777777778,1.2944444444444445,188,17,0.0944444444444444,0.4117647058823529,2.176470588235294,11.496562315881532,5.945420608606575,0.0038728958282507,4.9501312335958,180,188,5.241747015059643,0.49343832020997375,0.0019110352118402861
85,2317,0.4814814814814814,nodejs/node,112400,32314,JavaScript,427,0,-0.2021707835078356,0.0806786970249249,1314,7.3,1.1944444444444444,199,27,0.15,0.5185185185185185,2.2962962962962963,11.629828113199304,6.059123195581797,0.0037989323843416,3.077283372365339,180,199,5.298317366548036,0.46604215456674475,0.0017704626334519573
80,194,0.4666666666666667,expressjs/express,67429,19770,JavaScript,306,2,-0.0729946875410636,0.6556850819395168,59,0.3277777777777778,0.2055555555555555,21,15,0.0833333333333333,0.5333333333333333,1.8,11.118845301728628,5.726847747587197,0.0045381067493215,0.1928104575163398,180,21,3.091042453358316,0.06862745098039216,0.00031143869848284864
85,227,0.0769230769230769,webpack/webpack,65452,9088,JavaScript,397,1,-0.0971492139085932,0.5555424944163629,308,1.711111111111111,0.5111111111111111,37,13,0.0722222222222222,0.9230769230769232,5.846153846153846,11.089087606804007,5.986452005284438,0.0060655136588645,0.7758186397984886,180,37,3.6375861597263857,0.09319899244332494,0.0005652997616573978
75,2329,0.8518518518518519,facebook/create-react-app,103383,27048,JavaScript,448,2,-0.255098226153554,0.2902082410279131,3,0.0166666666666666,0.0111111111111111,2,37,0.2055555555555555,0.1081081081081081,4.203703703703703,11.546205490205027,6.1070228877422545,0.0043334010427246,0.0066964285714285,180,2,1.0986122886681098,0.004464285714285714,1.9345540369306364e-05
75,3272,0.5833333333333334,vercel/next.js,133468,28937,JavaScript,430,2,-0.1365785536429479,0.123240392445806,2000,11.11111111111111,0.6111111111111112,128,24,0.1333333333333333,0.4166666666666667,0.8333333333333334,11.801624520119756,6.066108090103747,0.0032217460365031,4.651162790697675,180,128,4.859812404361672,0.29767441860465116,0.000959031378307909
85,826,0.5121951219512195,sveltejs/svelte,83576,4578,JavaScript,413,1,-0.0860331352381081,0.5011512663930323,535,2.9722222222222223,0.7111111111111111,63,41,0.2277777777777777,0.4878048780487805,2.5609756097560976,11.333523641603223,6.025865973825314,0.004941610031588,1.2953995157384988,180,63,4.1588830833596715,0.15254237288135594,0.0007538049200727482
85,257,0.5531914893617021,jestjs/jest,44923,6581,TypeScript,429,2,-0.2124505378141893,0.2817254639692359,155,0.8611111111111112,0.2666666666666666,51,47,0.2611111111111111,0.4468085106382978,3.723404255319149,10.712727452082929,6.063785208687608,0.0095496738864278,0.3613053613053613,180,51,3.9512437185814275,0.11888111888111888,0.0011352759165683503
75,717,0.7419354838709677,typicode/json-server,74676,7196,JavaScript,78,1,-0.1353883469268084,0.8846153846153846,1,0.0055555555555555,0.0055555555555555,1,9,0.05,0.0,6.903225806451613,11.2209274254508,4.3694478524670215,0.0010445122931062,0.0128205128205128,180,1,0.6931471805599453,0.01282051282051282,1.3391183244951523e-05
70,118,0.6170212765957447,lodash/lodash,60766,7075,JavaScript,219,1,-0.0526656016013541,0.8711689000928752,0,0.0,0.0,0,22,0.1222222222222222,0.2272727272727272,4.638297872340425,11.014802157447122,5.393627546352362,0.0036039890728367,0.0,180,0,0.0,0.0,0.0
70,292,0.6666666666666666,moment/moment,48097,7053,JavaScript,397,2,-0.1759726692207664,0.3785059705637323,0,0.0,0.0,0,20,0.1111111111111111,0.3,3.2333333333333334,10.7809958751878,5.986452005284438,0.0082541530656797,0.0,180,0,0.0,0.0,0.0
80,482,0.7272727272727273,chartjs/Chart.js,66288,11961,JavaScript,426,2,-0.1305942193243851,0.3349909584086799,25,0.1388888888888889,0.0888888888888888,14,49,0.2722222222222222,0.3265306122448979,1.393939393939394,11.101779249890097,6.056784013228625,0.0064265025343953,0.0586854460093896,180,14,2.70805020110221,0.03286384976525822,0.00021119961380642048
80,690,0.5333333333333333,axios/axios,107315,11182,JavaScript,442,3,-0.3079438518535751,0.2017994858611825,72,0.4,0.2277777777777777,36,45,0.25,0.4666666666666667,2.0,11.58353303213418,6.093569770045136,0.0041187159297395,0.1628959276018099,180,36,3.6109179126442243,0.08144796380090498,0.0003354610259516377
75,95,0.1851851851851851,jquery/jquery,59541,20562,JavaScript,293,2,-0.0949195916118073,0.2715892885438123,14,0.0777777777777777,0.0555555555555555,3,18,0.1,0.7222222222222222,3.6296296296296298,10.994437224868893,5.683579767338681,0.0049209788213164,0.0477815699658703,180,3,1.3862943611198906,0.010238907849829351,5.0385448682420515e-05
