repository,health_score,stars,forks,open_issues,language,total_contributors,total_commits,open_ratio,recent_issues_count,recent_issues_per_day,recent_resolution_rate,avg_comments_per_issue,commits_per_day,activity_ratio,time_window_days,core_contributors,contribution_gini,avg_response_time_hours,response_rate,total_releases,releases_per_month,days_since_last_release,documentation_score,has_readme,has_contributing,has_license,pr_acceptance_rate,avg_time_to_merge_days
facebook/react,,237592,49003,1022,JavaScript,0,720,0.1,50,0.2777777777777778,0.9,1.14,4.0,0.7888888888888889,180,0,0,0,0,0,0,0,20,False,False,False,0,0
microsoft/vscode,,174970,33948,11958,TypeScript,0,2000,0.7738095238095238,84,0.4666666666666667,0.2261904761904762,0.9523809523809523,11.11111111111111,0.32222222222222224,180,0,0,0,0,0,0,0,20,False,False,False,0,0
octocat/Hello-World,,3040,3275,1793,,0,0,0.8648648648648649,37,0.20555555555555555,0.13513513513513514,0.21621621621621623,0.0,0.0,180,0,0,0,0,0,0,0,20,False,False,False,0,0
