repository,health_score,stars,forks,open_issues,language,total_contributors,total_commits,open_ratio,recent_issues_count,recent_issues_per_day,recent_resolution_rate,avg_comments_per_issue,commits_per_day,activity_ratio,time_window_days,core_contributors,contribution_gini
facebook/react,85,237592,49003,1023,JavaScript,410,720,0.10204081632653061,49,0.2722222222222222,0.8979591836734694,1.1428571428571428,4.0,0.7888888888888889,180,2,-0.12247318257847781
vuejs/vue,70,209187,33755,602,TypeScript,356,0,0.3170731707317073,10,0.05555555555555555,0.7,14.170731707317072,0.0,0.0,180,1,-0.1233326070068401
angular/angular,85,98371,26453,1556,TypeScript,381,1920,0.631578947368421,19,0.10555555555555556,0.3684210526315789,1.1578947368421053,10.666666666666666,1.3055555555555556,180,0,-0.16085788692187575
nodejs/node,85,112348,32274,2307,JavaScript,427,1324,0.5862068965517241,29,0.16111111111111112,0.41379310344827586,1.3793103448275863,7.355555555555555,1.2,180,0,-0.20212184817351378
expressjs/express,80,67409,19698,193,JavaScript,306,59,0.4,15,0.08333333333333333,0.6,1.9333333333333333,0.3277777777777778,0.20555555555555555,180,2,-0.07299468754106361
webpack/webpack,85,65453,9086,231,JavaScript,398,301,0.21428571428571427,14,0.07777777777777778,0.7857142857142857,5.5,1.6722222222222223,0.5,180,1,-0.09714135049143424
facebook/create-react-app,75,103377,27040,2328,JavaScript,449,14,0.7818181818181819,40,0.2222222222222222,0.175,4.0181818181818185,0.07777777777777778,0.016666666666666666,180,2,-0.2553040809120159
vercel/next.js,75,133415,28929,3276,JavaScript,430,2000,0.5833333333333334,24,0.13333333333333333,0.4166666666666667,0.5,11.11111111111111,0.6055555555555555,180,2,-0.1365699908038052
python/cpython,85,68024,32439,9197,Python,350,2000,0.6470588235294118,34,0.18888888888888888,0.35294117647058826,2.5294117647058822,11.11111111111111,0.75,180,0,-0.17334294694667035
pallets/flask,80,70039,16506,14,Python,401,48,0.18518518518518517,25,0.1388888888888889,0.84,2.1481481481481484,0.26666666666666666,0.09444444444444444,180,2,-0.12925855161723868
django/django,60,84351,32737,349,Python,392,412,0.0,0,0.0,0.0,0.0,2.2888888888888888,1.0,180,1,-0.1406840352320519
numpy/numpy,85,30002,11117,2316,Python,435,1239,0.37037037037037035,27,0.15,0.6296296296296297,4.666666666666667,6.883333333333334,0.95,180,1,-0.1387550243480826
pandas-dev/pandas,85,46100,18718,3747,Python,413,394,0.7435897435897436,39,0.21666666666666667,0.2564102564102564,2.3846153846153846,2.188888888888889,0.7277777777777777,180,3,-0.14123927401646952
psf/requests,80,53090,9507,269,Python,402,42,0.22448979591836735,49,0.2722222222222222,0.7755102040816326,2.2244897959183674,0.23333333333333334,0.16111111111111112,180,3,-0.20535549586303933
pytest-dev/pytest,85,12913,2833,923,Python,375,243,0.4722222222222222,36,0.2,0.5277777777777778,3.5277777777777777,1.35,0.5555555555555556,180,3,-0.11319040520395718
scikit-learn/scikit-learn,85,62771,26087,2178,Python,410,559,0.1724137931034483,29,0.16111111111111112,0.8275862068965517,2.689655172413793,3.1055555555555556,0.7388888888888889,180,1,-0.1872403432815124
spring-projects/spring-boot,75,77873,41335,585,Java,357,2000,0.2413793103448276,87,0.48333333333333334,0.7586206896551724,0.6091954022988506,11.11111111111111,0.6666666666666666,180,3,-0.03674667612322199
